diacritical_marks_vietnamese,no_accents_mark_vietnamese
"Bạn bơi khi nào? ""Tôi bơi vào tháng Bảy.""","Ban boi khi nao? ""Toi boi vao thang Bay."""
Những gì bạn phải làm là làm việc chăm chỉ hơn.,Nhung gi ban phai lam la lam viec cham chi hon.
"So với chiếc xe của anh, xe tôi nhỏ hơn.","So voi chiec xe cua anh, xe toi nho hon."
Cho tôi xin thêm một ít cà phê được không?,Cho toi xin them mot it ca phe duoc khong?
Bạn có thực sự nghĩ là Tom chưa kết hôn không?,Ban co thuc su nghi la Tom chua ket hon khong?
Bạn có thật sự nghĩ là Tom chưa kết hôn không?,Ban co that su nghi la Tom chua ket hon khong?
Cậu có nghĩ cậu nhận ra Tom không?,Cau co nghi cau nhan ra Tom khong?
Tom có biết là bạn đang làm gì ở đây không?,Tom co biet la ban dang lam gi o day khong?
Tom có biết bạn đang làm gì ở đây không thế?,Tom co biet ban dang lam gi o day khong the?
Trước khi đi ngủ đừng có uống bia!,Truoc khi di ngu dung co uong bia!
Đừng có mà được voi đòi tiên.,Dung co ma duoc voi doi tien.
Hãy tham khảo thông tin chi tiết ở trang 16.,Hay tham khao thong tin chi tiet o trang 16.
Việc này đã từng xảy ra với bạn trước đây chưa?,Viec nay da tung xay ra voi ban truoc day chua?
Anh ấy đã làm xong bài tập về nhà.,Anh ay da lam xong bai tap ve nha.
Anh ấy đã làm xong bài tập.,Anh ay da lam xong bai tap.
Cậu ấy đã hoàn thành xong bài tập.,Cau ay da hoan thanh xong bai tap.
Cháu nó còn nhỏ quá không đi bơi một mình được.,Chau no con nho qua khong di boi mot minh duoc.
Anh ta rất sẵn lòng cho tôi vay tiền.,Anh ta rat san long cho toi vay tien.
Anh ta miễn cưỡng đồng ý với đề nghị của tôi.,Anh ta mien cuong dong y voi de nghi cua toi.
Anh ấy được sinh ra trong một thị trấn nhỏ ở Ý.,Anh ay duoc sinh ra trong mot thi tran nho o Y.
Đây là cuốn sách mà bạn đang tìm đấy.,Day la cuon sach ma ban dang tim day.
Thật thà không phải lúc nào cũng là cha quỷ quái.,That tha khong phai luc nao cung la cha quy quai.
Bạn thấy lời gợi ý của anh ta thế nào?,Ban thay loi goi y cua anh ta the nao?
Bạn nghĩ sao về đề xuất của anh ấy?,Ban nghi sao ve de xuat cua anh ay?
Bạn nghĩ thế nào về đề xuất của ông ấy?,Ban nghi the nao ve de xuat cua ong ay?
Bạn nghĩ như thế nào về đề xuất của anh ấy?,Ban nghi nhu the nao ve de xuat cua anh ay?
Tom kiếm được bao nhiêu tiền trong một tháng?,Tom kiem duoc bao nhieu tien trong mot thang?
Tôi sẽ xuống ở chặng đỗ tới.,Toi se xuong o chang do toi.
Tôi đang tìm kiếm một công việc gần nhà.,Toi dang tim kiem mot cong viec gan nha.
Tôi tỉnh dậy và thấy một tên trộm trong phòng mình.,Toi tinh day va thay mot ten trom trong phong minh.
Tôi đang mượn sách ở thư viện thành phố.,Toi dang muon sach o thu vien thanh pho.
Tôi không thể ăn hay uống những thức ăn rất nóng.,Toi khong the an hay uong nhung thuc an rat nong.
Tôi không thể đến trường ngày hôm nay. Tôi đang bị ốm.,Toi khong the den truong ngay hom nay. Toi dang bi om.
Tớ đã làm tất cả những gì có thể để cứu Tom.,To da lam tat ca nhung gi co the de cuu Tom.
Tôi chẳng có gì để mà cho bạn cả.,Toi chang co gi de ma cho ban ca.
Tôi không biết làm thế nào để cảm ơn bạn đủ.,Toi khong biet lam the nao de cam on ban du.
Tôi không còn biết tin vào cái gì nữa.,Toi khong con biet tin vao cai gi nua.
Tôi không biết tin vào điều gì nữa.,Toi khong biet tin vao dieu gi nua.
Tôi không biết ai trong số các bạn điên rồ hơn.,Toi khong biet ai trong so cac ban dien ro hon.
Tôi không nhớ gì về điều đó.,Toi khong nho gi ve dieu do.
Tôi không muốn bất cứ ai biết là tôi giàu.,Toi khong muon bat cu ai biet la toi giau.
Tôi không muốn lại ăn mỳ Ý tối nay nữa.,Toi khong muon lai an my Y toi nay nua.
Tôi không muốn lại phải ăn mỳ Ý tối nay nữa.,Toi khong muon lai phai an my Y toi nay nua.
Tôi không hề biết là anh sẽ đến.,Toi khong he biet la anh se den.
Tôi có nhiều việc phải làm.,Toi co nhieu viec phai lam.
Tôi chưa từng đọc cuốn tiểu thuyết nào đáng sợ như vậy.,Toi chua tung doc cuon tieu thuyet nao dang so nhu vay.
Tôi đã khiến cho Tom bỏ vali của nó lại.,Toi da khien cho Tom bo vali cua no lai.
Tao đã khiến cho Tom bỏ vali của nó lại.,Tao da khien cho Tom bo vali cua no lai.
Tôi đã khiến cho Tom để vali của nó lại.,Toi da khien cho Tom de vali cua no lai.
Tôi định gọi cho cô ấy mà lại quên mất.,Toi dinh goi cho co ay ma lai quen mat.
Tôi cần phải đi đến thư viện vào ngày mai.,Toi can phai di den thu vien vao ngay mai.
Ngày mai tôi cần phải đi tới thư viện.,Ngay mai toi can phai di toi thu vien.
Tôi thường không có thời gian ăn trưa.,Toi thuong khong co thoi gian an trua.
Tôi giả vờ rằng điều đó chẳng ảnh hưởng gì đến mình.,Toi gia vo rang dieu do chang anh huong gi den minh.
Tuần trước tôi mới bắt đầu học tiếng Trung quốc.,Tuan truoc toi moi bat dau hoc tieng Trung quoc.
Anh nghĩ là anh yêu em mất rồi.,Anh nghi la anh yeu em mat roi.
Em nghĩ em yêu anh mất rồi.,Em nghi em yeu anh mat roi.
Tôi nghĩ là tôi phải làm việc đó hôm nay.,Toi nghi la toi phai lam viec do hom nay.
Tôi nghĩ tôi phải làm việc đó vào hôm nay.,Toi nghi toi phai lam viec do vao hom nay.
Tôi nghĩ là Tom bị dị ứng mèo.,Toi nghi la Tom bi di ung meo.
Tôi nghĩ Tom bị dị ứng với mèo.,Toi nghi Tom bi di ung voi meo.
Tôi tưởng bạn nói tên bạn là Tom.,Toi tuong ban noi ten ban la Tom.
Tôi đã nghĩ là bạn muốn tôi đưa cái đó cho bạn.,Toi da nghi la ban muon toi dua cai do cho ban.
Tôi đã bảo bạn đừng có làm điều gì ngu xuẩn rồi cơ mà.,Toi da bao ban dung co lam dieu gi ngu xuan roi co ma.
Tôi muốn nghe toàn bộ câu chuyện.,Toi muon nghe toan bo cau chuyen.
Tớ muốn nghe toàn bộ câu chuyện.,To muon nghe toan bo cau chuyen.
Mình muốn nghe toàn bộ câu chuyện.,Minh muon nghe toan bo cau chuyen.
Tao muốn nghe toàn bộ câu chuyện.,Tao muon nghe toan bo cau chuyen.
Ước gì tôi đã không nhờ Tom làm việc đó.,Uoc gi toi da khong nho Tom lam viec do.
Tôi ước là tôi đã không nhờ Tom làm điều đó.,Toi uoc la toi da khong nho Tom lam dieu do.
Tôi tự hỏi nó sẽ biết bao lâu.,Toi tu hoi no se biet bao lau.
Tôi tự hỏi là Tom có thể đến được hay không.,Toi tu hoi la Tom co the den duoc hay khong.
Mình sẽ không bao giờ đồng ý làm việc đó.,Minh se khong bao gio dong y lam viec do.
Tôi rất muốn tìm hiểu lý do tại sao cô ấy nói vậy.,Toi rat muon tim hieu ly do tai sao co ay noi vay.
Tôi sẽ giải thích mọi thứ cho bạn sau.,Toi se giai thich moi thu cho ban sau.
Tôi sẽ trả lương cho cậu vào cuối tháng.,Toi se tra luong cho cau vao cuoi thang.
Tôi sẽ đón bạn vào ngày mai sau khi xong việc.,Toi se don ban vao ngay mai sau khi xong viec.
Tôi e rằng bạn không còn lựa chọn nào khác.,Toi e rang ban khong con lua chon nao khac.
Tôi e là bạn đã nhầm số rồi.,Toi e la ban da nham so roi.
Tôi sẽ cần thêm một chút thời gian.,Toi se can them mot chut thoi gian.
Tôi không định cho Tom thấy thứ này.,Toi khong dinh cho Tom thay thu nay.
Tôi sẽ không nói cho bạn biết phải làm gì.,Toi se khong noi cho ban biet phai lam gi.
Tôi thỏa mãn với thu nhập hiện tại của tôi.,Toi thoa man voi thu nhap hien tai cua toi.
Tôi cảm thấy thỏa mãn với thu nhập hiện tại của bản thân.,Toi cam thay thoa man voi thu nhap hien tai cua ban than.
Tôi chắc rằng Tom không muốn ở một mình.,Toi chac rang Tom khong muon o mot minh.
Tôi chắc rằng Tom không muốn trở nên cô đơn.,Toi chac rang Tom khong muon tro nen co don.
Tôi vừa về ăn cơm.,Toi vua ve an com.
Tôi vừa mới về ăn cơm.,Toi vua moi ve an com.
Tôi chưa bao giờ thực sự ở đó trước đây.,Toi chua bao gio thuc su o do truoc day.
Tôi chưa bao giờ thật sự ở đó trước đây.,Toi chua bao gio that su o do truoc day.
"Nếu có thể, tôi muốn được về nhà ngay bây giowf.","Neu co the, toi muon duoc ve nha ngay bay giowf."
Nếu ấy đói thì sao không ăn đi?,Neu ay doi thi sao khong an di?
Không phải dễ để có sức khỏe tốt.,Khong phai de de co suc khoe tot.
Rõ ràng là cậu có vấn đề.,Ro rang la cau co van de.
Để tôi kể cho bạn nghe câu chuyện đó từ góc nhìn của tôi.,De toi ke cho ban nghe cau chuyen do tu goc nhin cua toi.
Chúng ta hãy giúp họ giải quyết vấn đề.,Chung ta hay giup ho giai quyet van de.
Xem mình có gì cho Tom nhân ngày sinh nhật này.,Xem minh co gi cho Tom nhan ngay sinh nhat nay.
Em trai tôi vẫn đang ngủ.,Em trai toi van dang ngu.
"Vào những ngày quang mây, người ta có thể trông thấy núi Phũ Sĩ.","Vao nhung ngay quang may, nguoi ta co the trong thay nui Phu Si."
Xin điền vào đơn này.,Xin dien vao don nay.
Xin điền vào mẫu đơn này.,Xin dien vao mau don nay.
Cô ta gây sự rồi đánh anh ấy.,Co ta gay su roi danh anh ay.
Tối qua cô ấy bị cảm nhẹ.,Toi qua co ay bi cam nhe.
Cô ta luôn phàn nàn về công việc của mình.,Co ta luon phan nan ve cong viec cua minh.
Bà ấy có thể sẽ sống đến 100 tuổi.,Ba ay co the se song den 100 tuoi.
Cô ấy có thể sẽ sống đến một trăm tuổi.,Co ay co the se song den mot tram tuoi.
Cô ấy không chỉ chơi piano mà còn hát nữa.,Co ay khong chi choi piano ma con hat nua.
Cô ấy học tiếng Pháp và thiết kế web.,Co ay hoc tieng Phap va thiet ke web.
Bạn hãy mang đồ ăn dư về nhà,Ban hay mang do an du ve nha
Cậu bé đã bắt con chim đó bằng một tấm lưới.,Cau be da bat con chim do bang mot tam luoi.
Cậu bé thử ăn bằng đũa.,Cau be thu an bang dua.
Buổi hoà nhạc kéo dài 3 tiếng đồng hồ.,Buoi hoa nhac keo dai 3 tieng dong ho.
Bị can đã bị tuyên án tử hình.,Bi can da bi tuyen an tu hinh.
Chiếc mũ đỏ này rất hợp với chiếc váy của cô ấy.,Chiec mu do nay rat hop voi chiec vay cua co ay.
Cái ti vi được đặt ở phòng khách.,Cai ti vi duoc dat o phong khach.
Nhiệt độ đột nhiên giảm.,Nhiet do dot nhien giam.
Thế giới không quay quanh bạn.,The gioi khong quay quanh ban.
Thế giới không quay quanh mày.,The gioi khong quay quanh may.
Công ty của họ đã tạo ra thêm bốn mươi chỗ làm.,Cong ty cua ho da tao ra them bon muoi cho lam.
Chúng nó lỗ tới một triệu yên lận.,Chung no lo toi mot trieu yen lan.
Có rất nhiều công việc rộng mở dành cho phụ nữ.,Co rat nhieu cong viec rong mo danh cho phu nu.
Đã không có ai đứng ra tình nguyện làm công việc đó.,Da khong co ai dung ra tinh nguyen lam cong viec do.
Đây là bức chân dung người cha quá cố của tôi.,Day la buc chan dung nguoi cha qua co cua toi.
Đây là bức chân dung người cha đã mất của tôi.,Day la buc chan dung nguoi cha da mat cua toi.
Mấy con gà đó hầu như ngày nào cũng đẻ trứng.,May con ga do hau nhu ngay nao cung de trung.
Cả Tom và tôi đều rất tự hào về bạn.,Ca Tom va toi deu rat tu hao ve ban.
Tom có thể mượn chiếc ô tô của tôi trong vài ngày.,Tom co the muon chiec o to cua toi trong vai ngay.
Tom nói tiếng Pháp tốt hơn cậu.,Tom noi tieng Phap tot hon cau.
Tom đuổi bọn mèo ra khỏi nhà anh ta.,Tom duoi bon meo ra khoi nha anh ta.
Tôi không rời khỏi thành phố nhiều lắm.,Toi khong roi khoi thanh pho nhieu lam.
"Tom là một người bảo thủ, phải không?","Tom la mot nguoi bao thu, phai khong?"
Tom vẫn còn trẻ và thiếu kinh nghiệm.,Tom van con tre va thieu kinh nghiem.
Tom là người thông minh nhất trong lớp của chúng tôi.,Tom la nguoi thong minh nhat trong lop cua chung toi.
Tom nhỏ hơn Mary 3 tuổi.,Tom nho hon Mary 3 tuoi.
Tom nhỏ hơn Mary 3 năm.,Tom nho hon Mary 3 nam.
Tom trẻ hơn Mary 3 tuổi.,Tom tre hon Mary 3 tuoi.
Tom đang đợi Mary ở sảnh đấy.,Tom dang doi Mary o sanh day.
Tom sẽ không làm tổn thương bất cứ người khác.,Tom se khong lam ton thuong bat cu nguoi khac.
Tom để ý thấy cánh cửa chỉ khép hờ.,Tom de y thay canh cua chi khep ho.
Tom đánh piano giỏi hơn Mary.,Tom danh piano gioi hon Mary.
Tom chơi piano giỏi hơn Mary.,Tom choi piano gioi hon Mary.
Tom nói là cái TV đang gặp vấn đề gì đó.,Tom noi la cai TV dang gap van de gi do.
Tom nói chiếc ti vi đang gặp trục trặc gì đó.,Tom noi chiec ti vi dang gap truc trac gi do.
Tom cho Mary xem bộ sưu tập tem của anh ta.,Tom cho Mary xem bo suu tap tem cua anh ta.
Tom đã ném điện thoại của Mary vào bể bơi.,Tom da nem dien thoai cua Mary vao be boi.
Tom ném điện thoại của Mary vào hồ bơi.,Tom nem dien thoai cua Mary vao ho boi.
Tom thường đi ngủ lúc 10 giờ 40.,Tom thuong di ngu luc 10 gio 40.
Uống nhiều quá sẽ bệnh.,Uong nhieu qua se benh.
Một tháng 150 nghìn Yên thì không đủ sống cho chúng tôi.,Mot thang 150 nghin Yen thi khong du song cho chung toi.
Chúng ta cần phải động não hơn nữa,Chung ta can phai dong nao hon nua
Chúng tôi nghĩ bạn đang làm việc rất tốt ở đây.,Chung toi nghi ban dang lam viec rat tot o day.
"Buổi sáng hôm sau, chúng tôi rất buồn ngủ.","Buoi sang hom sau, chung toi rat buon ngu."
Chúng tôi đang tiết kiệm để xây một ngôi nhà mới.,Chung toi dang tiet kiem de xay mot ngoi nha moi.
Cậu nghĩ Tom đi giày cỡ bao nhiêu?,Cau nghi Tom di giay co bao nhieu?
Bạn muốn nói chuyện với tôi về điều gì?,Ban muon noi chuyen voi toi ve dieu gi?
Tôi nên tặng gì cho Tom vào Giáng Sinh?,Toi nen tang gi cho Tom vao Giang Sinh?
Tôi nên tặng gì cho Tom vào Giáng Sinh đây?,Toi nen tang gi cho Tom vao Giang Sinh day?
Ngôn ngữ nào khó nhất?,Ngon ngu nao kho nhat?
"Trong những cái này, cái nào dễ dùng nhất?","Trong nhung cai nay, cai nao de dung nhat?"
Cái nào dễ dùng nhất trong những cái này?,Cai nao de dung nhat trong nhung cai nay?
Bạn có muốn tôi làm việc đó hộ bạn không?,Ban co muon toi lam viec do ho ban khong?
Bạn có muốn tôi làm việc đó giúp bạn không?,Ban co muon toi lam viec do giup ban khong?
Bạn không thể lúc nào cũng làm hài lòng mọi người.,Ban khong the luc nao cung lam hai long moi nguoi.
Bạn không thể tin tưởng vào máy dịch được.,Ban khong the tin tuong vao may dich duoc.
Hôm qua bạn không đi học.,Hom qua ban khong di hoc.
"Bạn đã không bỏ cuộc dễ dàng quá, đúng không?","Ban da khong bo cuoc de dang qua, dung khong?"
Hôm nay cậu không phải đến trường.,Hom nay cau khong phai den truong.
Bạn đã ra đi nhiều năm nay.,Ban da ra di nhieu nam nay.
Bạn giận tôi là đúng.,Ban gian toi la dung.
Bạn có mọi lý do để giận tôi.,Ban co moi ly do de gian toi.
Đáng lẽ ra bạn nên đi một mình mới phải.,Dang le ra ban nen di mot minh moi phai.
"Bạn muốn gặp lại Tom, có phải không?","Ban muon gap lai Tom, co phai khong?"
Cậu nên khuyên Tom đừng làm việc đó.,Cau nen khuyen Tom dung lam viec do.
"Bạn sẽ giúp tôi chứ? ""Tôi rất sẵn lòng.""","Ban se giup toi chu? ""Toi rat san long."""
Nhiều khả năng là dự luật sẽ bị bác bỏ.,Nhieu kha nang la du luat se bi bac bo.
Đến gặp tôi bất cứ lúc nào bạn rảnh.,Den gap toi bat cu luc nao ban ranh.
Bạn có cần phải hét to thế không?,Ban co can phai het to the khong?
Bạn có cần thiết phải hét to thế không?,Ban co can thiet phai het to the khong?
Bạn có biết đây là chữ của ai không?,Ban co biet day la chu cua ai khong?
Bạn có thỉnh thoảng ra thư viện học không?,Ban co thinh thoang ra thu vien hoc khong?
Bạn thường dùng trà cho bữa sáng à?,Ban thuong dung tra cho bua sang a?
Đừng coi nhẹ quyết tâm của cô ấy.,Dung coi nhe quyet tam cua co ay.
Người nào cũng có cái hay và cái dở của họ.,Nguoi nao cung co cai hay va cai do cua ho.
Mọi người có điểm mạnh và điểm yếu.,Moi nguoi co diem manh va diem yeu.
Đi theo tôi và tôi sẽ chỉ cho bạn đường đi.,Di theo toi va toi se chi cho ban duong di.
Đi theo tôi và tôi sẽ chỉ cho bạn cách.,Di theo toi va toi se chi cho ban cach.
Đi theo tao rồi tao sẽ chỉ cho mày cách.,Di theo tao roi tao se chi cho may cach.
Bạn đã kiểm tra lại xem cửa đã khóa không chưa?,Ban da kiem tra lai xem cua da khoa khong chua?
Ông ta cổ vũ con trai mình học hành chăm chỉ hơn.,Ong ta co vu con trai minh hoc hanh cham chi hon.
Anh ấy hoàn toàn không biết từ này nghĩa là gì.,Anh ay hoan toan khong biet tu nay nghia la gi.
Anh ấy hoàn toàn không biết những từ này nghĩa là gì.,Anh ay hoan toan khong biet nhung tu nay nghia la gi.
Anh ấy đã mất một khoản tiền lớn trong chứng khoán.,Anh ay da mat mot khoan tien lon trong chung khoan.
Ông ấy đã mất một khoản tiền lớn trong thị trường chứng khoán.,Ong ay da mat mot khoan tien lon trong thi truong chung khoan.
Ông ấy buộc lòng phải ký hợp đồng.,Ong ay buoc long phai ky hop dong.
Anh ấy bị bắt buộc phải quay về Washington.,Anh ay bi bat buoc phai quay ve Washington.
Anh ấy đang cảm thấy mệt mỏi sau giờ học tiếng Đức.,Anh ay dang cam thay met moi sau gio hoc tieng Duc.
Anh ấy cảm thấy mệt mỏi sau giờ tiếng Đức.,Anh ay cam thay met moi sau gio tieng Duc.
Anh ta là người điểu khiển máy chiếu trong rạp hát.,Anh ta la nguoi dieu khien may chieu trong rap hat.
Lời cô ta nói cứ như lời của một thiên thần.,Loi co ta noi cu nhu loi cua mot thien than.
Thật thà không phải lúc nào cũng là cha quỷ quái.,That tha khong phai luc nao cung la cha quy quai.
Trong lớp bạn có bao nhiêu con trai?,Trong lop ban co bao nhieu con trai?
Có bao nhiêu con trai trong lớp bạn?,Co bao nhieu con trai trong lop ban?
Tôi cần phải lặp lại điều này bao nhiêu lần nữa?,Toi can phai lap lai dieu nay bao nhieu lan nua?
Cuối cùng tôi phải chịu toàn bộ trách nhiệm.,Cuoi cung toi phai chiu toan bo trach nhiem.
Tôi đang nghĩ đến việc đi Los Angeles.,Toi dang nghi den viec di Los Angeles.
Tôi có thể giết cậu nhưng tôi đã không làm vậy.,Toi co the giet cau nhung toi da khong lam vay.
Tôi không biết Tom sẽ nói thế.,Toi khong biet Tom se noi the.
Tôi không định gây cho bạn ấn tượng như thế.,Toi khong dinh gay cho ban an tuong nhu the.
Tôi không có ý định gây cho bạn ấn tượng như thế.,Toi khong co y dinh gay cho ban an tuong nhu the.
Tôi không muốn bất kỳ ai viết về tôi.,Toi khong muon bat ky ai viet ve toi.
Tôi hy vọng mình đã làm điều đúng đắn.,Toi hy vong minh da lam dieu dung dan.
Tôi mong là kinh tế sẽ sớm phục hồi.,Toi mong la kinh te se som phuc hoi.
Tôi chỉ làm điều mà ai cũng làm thôi mà.,Toi chi lam dieu ma ai cung lam thoi ma.
Tôi chờ đọc báo cáo của anh.,Toi cho doc bao cao cua anh.
Tôi để vuột mất cơ hội gặp ông ấy.,Toi de vuot mat co hoi gap ong ay.
Tôi đã sử dụng toàn bộ số tiền tiết kiệm của mình để mua cái này.,Toi da su dung toan bo so tien tiet kiem cua minh de mua cai nay.
Tôi học ở Boston từ năm 2003 đến năm 2007.,Toi hoc o Boston tu nam 2003 den nam 2007.
"Tôi không chỉ học tiếng Anh, mà còn học cả tiếng Pháp nữa.","Toi khong chi hoc tieng Anh, ma con hoc ca tieng Phap nua."
Tôi nghĩ là có một người đang yêu thầm Tom.,Toi nghi la co mot nguoi dang yeu tham Tom.
Tôi nghĩ có một người đang thầm yêu Tom.,Toi nghi co mot nguoi dang tham yeu Tom.
Tôi nghĩ là cái đó hơi đắt.,Toi nghi la cai do hoi dat.
Tôi nghĩ cái đó hơi đắt.,Toi nghi cai do hoi dat.
Tôi nghĩ là cái kia hơi đắt.,Toi nghi la cai kia hoi dat.
Tôi nghĩ là họ sẽ cho phép bạn làm điều đó.,Toi nghi la ho se cho phep ban lam dieu do.
Tôi nghĩ chúng ta nên bắt đầu ăn mừng.,Toi nghi chung ta nen bat dau an mung.
Tôi muốn mược xe của bạn trong vòng một giờ.,Toi muon muoc xe cua ban trong vong mot gio.
Mình mong cậu có một đêm ngủ ngon.,Minh mong cau co mot dem ngu ngon.
Tôi rất ấn tượng về bài thuyết trình đó.,Toi rat an tuong ve bai thuyet trinh do.
Tôi vô cùng ấn tượng về bài thuyết trình đó.,Toi vo cung an tuong ve bai thuyet trinh do.
Tôi cực kỳ ấn tượng về bài thuyết trình đó.,Toi cuc ky an tuong ve bai thuyet trinh do.
Tôi tự hỏi không biết đây có phải là một âm mưu gì không.,Toi tu hoi khong biet day co phai la mot am muu gi khong.
Tôi không biết là bạn có thể giúp tôi làm điều đó không.,Toi khong biet la ban co the giup toi lam dieu do khong.
"Tôi sẽ đến đó, mặc dù có lẽ là tôi sẽ đến muộn.","Toi se den do, mac du co le la toi se den muon."
Tôi đã tìm kiếm chùm chìa khoá của tôi cả ngày nay.,Toi da tim kiem chum chia khoa cua toi ca ngay nay.
Cho đến giờ tôi đã đợi cô ta một tiếng đồng hồ.,Cho den gio toi da doi co ta mot tieng dong ho.
Lo lắng nhiều quá thì sẽ bị hói đầu đấy.,Lo lang nhieu qua thi se bi hoi dau day.
Âu lo nhiều quá thì sẽ hói đầu đấy.,Au lo nhieu qua thi se hoi dau day.
Chuyện đó chắc chắn sẽ không bao giờ xảy ra nữa.,Chuyen do chac chan se khong bao gio xay ra nua.
Chuyện đó chắc chắn sẽ không bao giờ xảy ra nữa.,Chuyen do chac chan se khong bao gio xay ra nua.
Chuyện đó chắc chắn sẽ không bao giờ xảy ra nữa.,Chuyen do chac chan se khong bao gio xay ra nua.
Chuyện đó chắc chắn sẽ không bao giờ xảy ra nữa.,Chuyen do chac chan se khong bao gio xay ra nua.
Hãy nói về chuyện này khi tôi về nhà.,Hay noi ve chuyen nay khi toi ve nha.
Mary giúp mẹ cô ấy chuẩn bị bữa tối.,Mary giup me co ay chuan bi bua toi.
Mary từng mơ thấy việc kết hôn với Tom.,Mary tung mo thay viec ket hon voi Tom.
Bố tôi đã nhờ tôi mở cửa sổ ra.,Bo toi da nho toi mo cua so ra.
Bố tôi nhờ tôi mở cửa sổ ra.,Bo toi nho toi mo cua so ra.
Ông tôi rất khó chiều.,Ong toi rat kho chieu.
Sở thích của tôi là karate và thư pháp.,So thich cua toi la karate va thu phap.
Hãy nói cho tôi biết bạn cần tôi làm gì.,Hay noi cho toi biet ban can toi lam gi.
Cô ấy không thể đến bởi vì anh ấy bệnh.,Co ay khong the den boi vi anh ay benh.
Cô ấy là người dậy sớm nhất trong nhà.,Co ay la nguoi day som nhat trong nha.
Cô ấy là người dậy sớm nhất trong gia đình tôi.,Co ay la nguoi day som nhat trong gia dinh toi.
Cô ấy giới thiệu tôi cho hắn ở buổi tiệc.,Co ay gioi thieu toi cho han o buoi tiec.
Cô ấy rời Pháp để đến Hoa Kỳ.,Co ay roi Phap de den Hoa Ky.
Cô ấy rời Pháp để đến Mỹ.,Co ay roi Phap de den My.
Cô ấy nói là cô ấy sẽ quay trở lại ngay.,Co ay noi la co ay se quay tro lai ngay.
Cô ấy nói cô ấy sẽ quay trở lại ngay.,Co ay noi co ay se quay tro lai ngay.
Cô ấy thấy vài cuốn sách nằm trên cây đàn dương cầm.,Co ay thay vai cuon sach nam tren cay dan duong cam.
Cô ấy đã muốn kết hôn ngay lập tức.,Co ay da muon ket hon ngay lap tuc.
Chị ấy bị bắt chờ hơn một tiếng đồng hồ.,Chi ay bi bat cho hon mot tieng dong ho.
Cô ấy đã phải đợi hơn một tiếng.,Co ay da phai doi hon mot tieng.
Cô ấy đã bị bắt phải đợi hơn một tiếng.,Co ay da bi bat phai doi hon mot tieng.
Cái gì đó rất kinh khủng sắp xảy ra.,Cai gi do rat kinh khung sap xay ra.
Cái gì đó rất kinh khủng sẽ xảy ra.,Cai gi do rat kinh khung se xay ra.
Đó là cửa hàng nơi mà tôi đã từng làm việc.,Do la cua hang noi ma toi da tung lam viec.
Cuốn sách đã sẵn sàng để xuất bản rồi.,Cuon sach da san sang de xuat ban roi.
Cái tô có rất nhiều loại kẹo.,Cai to co rat nhieu loai keo.
Cặp vợ chồng quyết định nhận một đứa con nuôi.,Cap vo chong quyet dinh nhan mot dua con nuoi.
Đám đông tràn qua cửa.,Dam dong tran qua cua.
Cái cổng bị đóng cả năm trời nay.,Cai cong bi dong ca nam troi nay.
"Ở Nhật Bản, học kỳ mới sẽ bắt đầu vào tháng Tư.","O Nhat Ban, hoc ky moi se bat dau vao thang Tu."
Bưu điện ở gần hiệu sách.,Buu dien o gan hieu sach.
Nhà hàng đó ở tầng 1.,Nha hang do o tang 1.
Chiếc xe tải đó đã chất đầy nội thất.,Chiec xe tai do da chat day noi that.
Trên đường cao tốc đang xảy ra tình trạng tắc đường.,Tren duong cao toc dang xay ra tinh trang tac duong.
Có 20 thí sinh trong cuộc cạnh tranh.,Co 20 thi sinh trong cuoc canh tranh.
Họ định di cư sang Mỹ.,Ho dinh di cu sang My.
Họ có ý định di cư sang Hoa Kỳ.,Ho co y dinh di cu sang Hoa Ky.
Có 13 hành khách đã nhập viện.,Co 13 hanh khach da nhap vien.
Tom và tớ có vài việc cần làm.,Tom va to co vai viec can lam.
Tom xin lỗi tôi vì đã hành xử thô lỗ.,Tom xin loi toi vi da hanh xu tho lo.
Tom xin lỗi tôi vì đã cư xử thô lỗ.,Tom xin loi toi vi da cu xu tho lo.
Tom hỏi Mary có bao nhiêu tiền.,Tom hoi Mary co bao nhieu tien.
Tom hỏi Mary rằng cô ấy có bao nhiêu tiền.,Tom hoi Mary rang co ay co bao nhieu tien.
Tom không thể nói cho Mary biết ông ấy đã thật sự cảm thấy như thế nào.,Tom khong the noi cho Mary biet ong ay da that su cam thay nhu the nao.
"Tom đã có thể làm việc đó, nhưng anh ấy không làm.","Tom da co the lam viec do, nhung anh ay khong lam."
Tom đưa cho Mary nước gì đó mát để uống.,Tom dua cho Mary nuoc gi do mat de uong.
Ngoài Chủ Nhật ra thì ngày nào Tom cũng đi làm.,Ngoai Chu Nhat ra thi ngay nao Tom cung di lam.
Tom có nhiều người bạn ở Boston.,Tom co nhieu nguoi ban o Boston.
Tom có nhiều bạn ở Boston.,Tom co nhieu ban o Boston.
Tom tin chắc là anh ta sẽ bị sa thải.,Tom tin chac la anh ta se bi sa thai.
Tom tin chắc là ông ta sẽ bị đuổi việc.,Tom tin chac la ong ta se bi duoi viec.
Tom định tới buổi hòa nhạc cùng với Mary.,Tom dinh toi buoi hoa nhac cung voi Mary.
Tom đang xem ti-vi ở phòng khách.,Tom dang xem ti-vi o phong khach.
Tom đang xem ti-vi trong phòng khách.,Tom dang xem ti-vi trong phong khach.
